Date,Year,Exam Name,Conducting Body,Conducting Body Type,State,Leak Confirmation Status,Action taken,Action Category,Response Severity,Repeat Offender,Prior Incidents (Same Body),Note about action Taken,Note about incident,Appeared Students,Appeared Students Reported,References
2023-12-22,2023,MBA first term exam,Savitribai Phule Pune University,State,Maharashtra,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media,183.0,True,"Pune: MBA exam paper leaked on WhatsApp, case registered | Pune News - The Indian Express"
2023-10-01,2023,Constable Exam,"Central Selection Board of Constables, Bihar",State,Bihar,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action and other exams postponed,Paper leaked on social media,,False,SIT formed to probe into constable recruitment exam paper leak case in Bihar (newindianexpress.com)
2023-09-19,2023,Occupational English Test,Private Center,Private,Kerala,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Re-exam,Selling of question papers,,False,Thrissur police nab 8 Kottayam natives behind OET question paper leak | Manorama English (onmanorama.com)
2023-07-20,2023,BBA Exam,Barkatullah University,State,Madhya Pradesh,Alleged,Legal action taken,Legal Action Taken,Moderate Response,False,0,Booked involved students,Question paper  found on the phones,,False,4 students booked in BU's BBA 'paper leak' case | Bhopal News - Times of India (indiatimes.com)
2023-07-16,2023,Junior Engineer,Odisha Staff Selection Commission,State,Odisha,Alleged,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media,,False,"BJP, Congress attack Odisha government over OSSC recruitment paper leak | Latest News India - Hindustan Times"
2023-06-03,2023, Nursing Officer Recruitment Common Eligibility Test (NORCET-4),AIIMS,Central,All India,Alleged,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Re-exam,Question paper  found on the phones,,False,Students allege leak of AIIMS nursing officer exam paper | Delhi News - The Indian Express
2023-05-18,2023,Class 12th English Exam,Punjab School Education Board,State,Punjab,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,"Redsitributed leaked paper 2nd time, So, again re-exam for 185 students",Paper leaked on social media,,False,"Punjab School Education Board exam: Leaked question papers distributed again, Class 12 students to take exam a 3rd time | Chandigarh News - The Indian Express"
2023-04-03,2023,High School Hindi & Telgu ,Telangana Board of intermediate Education,State,Telangana,Confirmed,Suspension,Suspension Issued,Strong Response,False,0,Suspension of officials,Paper leaked on Whatsapp at a school,,False,"Class 10 question paper leaked in Telangana, 3 officials suspended - India Today"
2023-03-18,2023,Class 12th Exam,Madhya Pradesh Board of Secondary Education,State,Madhya Pradesh,Alleged,dismissed claim,Claim Dismissed,No Consequence,False,0,Fake news suggested,Claim : question paper leaked  on social media,,False,Police arrests 4 accused in Madhya Pradesh Board Class 10 and 12 question paper leak case - CNBC TV18
2023-03-06,2023,High School Mathematics Exam,Assam Board of Secondary Education,State,Assam,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,0,Exam Cancelled in exam centers where irregularties reported, irregularties reported at some exam centers,,False,Assam HSLC exam cancelled after question paper leak; CM summons SEBA secretary - Hindustan Times
2023-03-05,2023, Assitant Civil Engineer,Telangana State Public Service Commission,State,Telangana,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,1,Legal action taken against involved people,Paper leaked on social media,,False,Telangana State Public Service Commission cancels civil exam over paper 'leak' - India Today
2023-03-03,2023,Mathematics Exam,Maharashtra State Board of Secondary and Higher Secondary Education,State,Maharashtra,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,True,2,"Legal action against involved students, but no re-exam",Question paper viral on social media,,False,Now HSC Maths paper leaked in Buldhana 30 minutes before scheduled time - Hindustan Times
2022-12-21,2022,Class 2nd Teacher Recruitment : GK Question Paper,Rajasthan Public Service Commission,State,Rajasthan,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media,,False,Rajasthan 2nd grade teacher recruitment exam paper leaked; 44 held - The Hindu
2022-10-16,2022,Group 1 Prelims,Telangana State Public Service Commission,State,Telangana,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,True,0,No Re-exam,Paper leaked on social media,,False,Group I prelims exam paper leaked to 20 persons: Police | Group I prelims exam paper leaked to 20 persons: Police (deccanchronicle.com)
2022-09-28,2022,Diploma in Elementary Education,West Bengal Board of Primary Education,State,West Bengal,Alleged,Legal action taken,Legal Action Taken,Moderate Response,True,0,No Rexam,Paper leaked on social media,,False,West Bengal: D.El.Ed paper leaks an hour before exam | Kolkata News - Times of India (indiatimes.com)
2022-09-12,2022,Forest Guard Recruitment,Rajasthan Staff Selection Board,State,Rajasthan,Alleged,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Rexam,Some candiates accessing paper before the exam,,False,Forest guard exam 2022 paper was leaked: Rajasthan police | Jaipur News - Times of India (indiatimes.com)
2022-09-10,2022,JE,Himachal Pradesh Staff Selection Commission,State,Himachal Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media,,False,HPSSC paper leak case: Vigilance bureau SIT files fresh FIR against four persons - Hindustan Times
2022-08-26,2022,Assistant Civil Engineer,Arunachal Pradesh Public Service Commission,State,Arunachal Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action,Paper leaked on social media,,False,Arunachal paper leak scam: APPSC cancels AE (Civil) recruitment exam (arunachal24.in)
2022-07-31,2022,Lekhpal Exam,The Uttar Pradesh Subordinate Services Selection Commission,State,Uttar Pradesh,Alleged,Legal action taken,Legal Action Taken,Moderate Response,False,0,"Legal action against solvers, but no re-exam",Proxy candidates as solvers,,False,"UP Lekhpal exam: 'Solvers', candidates among 21 arrested; Akhilesh alleges paper 'leak'  ThePrint  PTIFeed"
2022-05-08,2022,BPSC 67th Exam,Bihar Public Service Commission,State,Bihar,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,0,Legal action ,Paper leaked on social media,,False,"BPSC: BPSC 67th Paper Leak 2022, Probe Ordered by Bihar Public Service Commission | - Times of India (indiatimes.com)"
2022-03-30,2022,Class 12th English,Uttar Pradesh State Board of High School and Intermediate Education,State,Uttar Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Exam Cancelled in 24 districts,Paper leaked on social media 5 hours before the exam,,False,"UP Board Class 12 English paper leak case: 7 more arrested, total 24 held so far | Latest News India - Hindustan Times"
2022-03-27,2022,sub-inspector recruitment examination,Jammu and Kashmir Services Selection Board,State,Jammu,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action against exam mafia,Paper leaked on social media,,False,ED arrests Haryana man in J&K paper leak case | India News - Times of India (indiatimes.com)
2022-02-17,2022,High School Mathematics Exam,Bihar School Examination Board,State,Bihar,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,1,Legal action taken against involved people,Paper leaked on social media,,False,"Bihar Board 10th Maths Exams Cancelled After Paper Leak, Cheating Allegations, Re-exam on March 24, Details here (indianexpress.com)"
2021-12-13,2021,MHADA Exam,Maharashtra Housing and Area Development Authority,State,Maharashtra,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,3 Persons trying to leak paper,,False,MHADA cancels exam after 3 held for bid to leak question paper | Education - Hindustan Times
2021-12-12,2021,Head Clerk,Gujarat Subordinate Service Selection Board,State,Gujarat,Alleged,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Rexam,Selling of question papers,,False,"8 held, FIR against 11 as Gujarat govt admits to GSSSB paper leak | Gandhinagar News - The Indian Express"
2021-12-04,2021,UKSSSC Exam,Uttarakhand Subordinate Staff Selection Commission,State,Uttarakhand,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Five more upcoming exam cancelled,Paper leaked on social media,,False,Five recruitment exams cancelled in Uttarakhand after UKSSSC paper leak investigation - India Today
2021-09-28,2021,Uttar Pradesh Teacher Eligbility Test,"Department of Basic Education, Uttar Pradesh",State,Uttar Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media,,False,"UPTET paper leak: Official suspended, 1 more arrested | Lucknow News - The Indian Express"
2021-09-26,2021,Rajasthan Eligibility Examination for Teachers,"BOARD OF SECONDARY EDUCATION, Rajasthan",State,Rajasthan,Confirmed,Chargesheet,Chargesheet Filed,Strong Response,False,0,No Rexam,Paper leaked even after internet shutdown,,False,Enforcement Directorate arrests kingpin of paper leak in Rajasthan teachers' recruitment test | India News - Times of India (indiatimes.com)
2021-09-14,2021,National Law aptitude Test,National Law School of India University,Central,All India,Alleged,,Not Reported,Unknown,False,0,"Question leaked after exam started, so does not affect exam",Paper leaked on social media,,False,'Does Not Affect Integrity Of Exam': NLSIU On Claims Of NLAT Re-Test Paper Leak (livelaw.in)
2021-09-02,2021,JEE MAINS,National Testing Agency,Central,All India,Confirmed,Chargesheet,Chargesheet Filed,Strong Response,True,0,"Legal action against solvers, but no re-exam",Solving of question paper via remote access at a exam center,,False,JEE Main 2021 Paper Leak Case: What Has Happened So Far (ndtv.com)
2021-08-06,2021,General Department Competitive Exam,Railway Recruitment Board,Central,Uttar Pradesh,Confirmed,No Rexam,No Corrective Action,No Consequence,True,1,Legal action against exam mafia,Paper leaked on social media,,False,GDCE Exam: 11 Railway Employees Under CBI Scanner in Another Paper Leak Scandal Involving Rs 4 Lakh - News18
2020-09-04,2020,2019 PSC Police Constable Exam,Kerala Public Service Commission,State,Kerala,Alleged,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Re-exam,Question paper leaked on social media,,False,Kerala PSC question paper leak case: HC issues notice to state government - India Today
2020-02-17,2020,Mathematics Prepatory Exam,Karnataka School Examination and Assessment Board,State,Karnataka,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Re-exam,Paper leaked on social media,,False,SSLS preparatory exams: 14 students detained for maths paper leak | Bengaluru News - Times of India (indiatimes.com)
2019-08-28,2019,JE Exam,Railway Recruitment Board,Central,Maharashtra,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,True,0,No Rexam,Screenshots of questions on social media,,False,"RRB JE exam paper leak row: Two booked, question paper circulated from Thane | Jobs News - The Indian Express"
2019-02-25,2019,High School Mathematics Exam,Bihar School Examination Board,State,Bihar,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,True,0,No Rexam,Paper leaked on social media before exam,,False,Bihar Board Class 10 Mathematics Question Paper Leaked - AglaSem News
2019-02-24,2019,Mother India Language Exam,"Board of Secondary Education, Odisha",State,Odisha,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Rexam,Paper leaked on social media,,False,5 school teachers arrested in Odisha Matric paper leak case for circulating images - India Today
2018-12-09,2018,Gujarat Police Constable Recruitment,Gujarat Police Recruitment Board,State,Gujarat,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media before exam,,False,3 more arrested in Gujarat Police Constable Recruitment paper leak case: Fresh exam on January 6 - India Today
2018-12-05,2018, BCS-031,Indria Gandhi National Open University,Central,Delhi,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media from a center,,False,"IGNOU Question Paper Leak: Police Register FIR, Quiz Students (ndtv.com)"
2018-03-27,2018,10th Math and 12th Economics,CBSE,Central,Delhi,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,2,Legal action,Students got handwritten question paper and many other irregularities reported,,False,CBSE Board Paper Leak 2018 Highlights: Students In Delhi Protest Against Decision To Hold Re-Examination (ndtv.com)
2018-03-19,2018,History and political science,Maharashtra State Board of Secondary and Higher Secondary Education,State,Maharashtra,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,True,1,No Rexam,One coaching leaked question paper before exam on their whatsapp group,,False,SSC paper leak: 15 students found with History exam paper on WhatsApp at Kalyan school | Mumbai news - Hindustan Times
2018-02-21,2018,"CGL 2nd Tier, 2017",Staff Selection Commission,Central,All India,Alleged,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action,Answer Key leaked before exam,,False,SSC CGL paper leak case: Sify staffers among 17 booked by CBI | Education News - The Indian Express
2017-03-14,2017,Class 12th CS and Physics,Himachal Pradesh Board of School Education,State,Himachal Pradesh,Confirmed,Exam Cancelled on many centers,Exam Cancelled,Moderate Response,False,0,Exam cancelled on 1846 centers Legal action taken against involved people,Paper stolen,,False,Himachal Pradesh Class 12 Board Exam Paper Leak - Careerindia
2017-03-06,2017,Class 12th Marathi,Maharashtra State Board of Secondary and Higher Secondary Education,State,Maharashtra,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,True,0,No Rexam,Paper leaked on social media,,False,Maharashtra: Two college students arrested in HSC paper leak | Mumbai news - Hindustan Times
2017-02-10,2017,HCS (Judicial) Paper -2017 ,Haryana Public Service Commission,State,Haryana,Confirmed,Legal action taken and claim dismissed,Legal Action Taken,Moderate Response,False,0,No Rexam,Paper Leak,,False,"2017 Haryana Judges Paper Leak Case: Prosecution Concludes Arguments, Seeks No Mercy for Accused in Ghastly Act - News18"
2016-12-27,2016,Review Officer/Assistant Review Officer - 2016,Uttar Pradesh Public Service Commission,State,Uttar Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,1,Legal action against exam mafia,Paper leaked on social media,,False,"UPPSC RO/ARO 2016 Exam Cancelled @uppsc.up.nic.in, Check Here the Tentative Exam Dates (jagranjosh.com)"
2016-05-01,2016,NEET Phase 1 2016,CBSE,Central,Uttar Pradesh,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,True,1,No Rexam,Cheating reported,,False,NEET Phase 1 2016: Paper leaked in Varanasi - India Today
2015-05-25,2015,UP CPMT 2015,"King George's Medical University , Lucknow",State,Uttar Pradesh,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Rexam,Paper leaked on social media,,False,Bid to leak UP CPMT answers: 3 MBBS students arrested | Lucknow News - The Indian Express
2015-05-03,2015,AIPMT 2015,CBSE,Central,All India,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,0,Legal action against exam mafia,Paper leaked on social media,,False,"AIPMT cancelled, CBSE told to reconduct exam - India Today"
2015-03-30,2015,Provincial civil services preliminary examination,Uttar Pradesh Public Service Commission,State,Uttar Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,0,Legal action against exam mafia,Paper leaked on social media before exam,,False,Uttar Pradesh civil services exam cancelled after paper leaked on Whatsapp (livemint.com)
2014-06-23,2014,UP CPMT 2014,"King George's Medical University , Ghaziabadd",State,Uttar Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action against exam mafia,Paper leaked on social media,,False,"CPMT 2014 paper leak: Aspirants dejected, demand compensation | Lucknow News - Times of India (indiatimes.com)"
